1,379,195.23
2,879,192.62
3,1334,194.21
4,1706,180.3
5,1961,184.97
6,2200,175.66
7,2347,171.89
8,2475,169.82
9,2571,169.15
10,2641,165.83
1,381,186.38
2,875,186.8
3,1345,183.49
4,1704,182.56
5,1974,178.88
6,2165,176.39
7,2339,173.01
8,2471,170.45
9,2570,169.37
10,2618,167.47
1,379,187.62
2,867,186.92
3,1344,184.07
4,1686,189.16
5,1972,188.27
6,2170,173.62
7,2349,169.62
8,2455,168.34
9,2586,165.95
10,2661,163.32
1,383,187.02
2,869,184.35
3,1324,180.19
4,1692,179.63
5,1965,177.08
6,2188,174.72
7,2331,172.57
8,2462,169.64
9,2594,170.6
10,2651,166.14
1,383,187.23
2,880,185.93
3,1339,183.9
4,1701,181.72
5,1982,176.28
6,2185,171.45
7,2338,171.84
8,2476,167.93
9,2565,167.04
10,2665,165.14
